#,Name,ID,Rating,Fed,Rd 1,Rd 2,Rd 3,Rd 4,Rd 5,Rd 6,Rd 7,Rd 8,Rd 9,Total
55,FM Alexandre Kretchetov,12833623,2149,RUS,L26 (w),D34 (b),D27 (w),D42 (b),L100 (w),D78 (b),W106 (w),D64 (b),W83 (w),4.5
56,Jason Cigan,12717578,2089,USA,L67 (b),L29 (w),W105 (b),D59 (w),D63 (b),D45 (w),D72 (b),W84 (w),D62 (b),4.5
57,CM Anjaneya Sripathy Rao,16442373,2173,USA,W37 (w),L19 (b),L46 (w),W95 (b),L64 (w),D80 (b),W100 (w),D53 (b),D49 (w),4.5
58,Sam Luger,16767486,2205,USA,L4 (w),W98 (b),L38 (w),W106 (b),L37 (w),D81 (b),D92 (w),X93,D59 (b),4.5
59,CM Logan C Shafer,16019966,2291,USA,L82 (w),L91 (b),W90 (w),D56 (b),D85 (w),D86 (b),W73 (w),D68 (b),D58 (w),4.5
60,Jason T Duncan,12694727,2212,USA,H---,H---,L61 (w),D81 (b),D83 (w),W82 (b),D53 (w),L54 (b),W89 (w),4.5
61,GM Dmitry Gurevich,12212800,2347,USA,D103 (b),D83 (w),W60 (b),H---,D24 (w),H---,D48 (b),H---,L27 (w),4.5
62,FM Nelson Castaneda,12564228,2241,USA,L21 (b),W90 (w),W99 (b),H---,D54 (w),H---,L41 (b),H---,D56 (w),4.5
63,Jonathan Sterling Kogen,12810919,2228,USA,W27 (w),L10 (b),L26 (w),D83 (b),D56 (w),W91 (b),D54 (w),L42 (b),D78 (w),4.0
64,IM Tamas Petenyi,30708450,2254,SVK,D2 (w),W108 (b),L6 (b),D15 (w),W57 (b),L37 (w),L47 (b),D55 (w),D79 (b),4.0
65,Vaibhav Robinjith Kalpaka,30720535,2302,IND,W81 (w),D5 (b),L17 (w),D77 (b),L89 (w),W101 (b),W85 (w),L28 (w),L43 (b),4.0
66,FM Megan Lee,12902833,2222,USA,L3 (b),W102 (w),D36 (b),L28 (w),W52 (b),L39 (w),D71 (b),L69 (w),W96 (b),4.0
67,FM Bryan Xie,15733084,2317,USA,W56 (w),L1 (b),W86 (w),D40 (b),L13 (b),W73 (w),L25 (b),D43 (w),U---,4.0
68,Evan Sammons,16792076,2195,USA,D54 (w),W92 (b),L14 (w),L53 (b),W102 (w),L42 (b),W81 (w),D59 (w),L32 (b),4.0
69,Evan Yin,15312546,2119,USA,L53 (w),W80 (b),L48 (w),L37 (b),W106 (w),L70 (b),W82 (w),W66 (b),L45 (b),4.0
70,Saumil Padhya,15519518,2238,IND,L5 (w),L81 (b),D102 (b),D76 (w),W99 (b),W69 (w),L35 (b),W71 (w),L44 (b),4.0
71,CM Kevin Zhao,30425013,2135,USA,H---,W54 (b),L23 (w),D36 (w),D41 (b),L34 (b),D66 (w),L70 (b),W90 (w),4.0
72,IM Augusto Cesar Campos,30778096,2280,CUB,W109 (w),D9 (b),L5 (w),L2 (b),L101 (w),W75 (b),D56 (w),D83 (b),D73 (w),4.0
73,Jesse Ren,16647087,2187,USA,L9 (w),W109 (b),W84 (w),L38 (b),D49 (w),L67 (b),L59 (b),W88 (w),D72 (b),4.0
74,GM Pavel Blatny,12624969,2249,CZE,L17 (w),W75 (b),W82 (w),L31 (b),L93 (w),L85 (b),D78 (w),D90 (b),W92 (w),4.0
75,Artemii Khanbutaev,30784129,2059,USA,L22 (b),L74 (w),D96 (b),W94 (w),L50 (b),L72 (w),W87 (b),W101 (b),D84 (w),4.0
76,CM Ethan Guo,16761994,2068,USA,H---,L23 (b),L34 (w),D70 (b),D94 (w),W103 (b),D86 (w),W80 (b),L40 (w),4.0
77,Maahir M Patel,17093186,2026,USA,H---,W41 (w),L12 (b),D65 (w),D39 (b),L49 (b),D91 (w),W85 (b),U---,4.0
78,Saharsh Santosh,17153914,2032,USA,L49 (w),L100 (b),L80 (w),W109 (b),D84 (b),D55 (w),D74 (b),W105 (w),D63 (b),4.0
79,Hanchi Yao,16512998,2117,USA,H---,L8 (w),L28 (b),W98 (b),L42 (w),L92 (b),W102 (w),W100 (b),D64 (w),4.0
80,FM James Andrei Chirilov,16480806,2259,USA,L104 (b),L69 (w),W78 (b),W44 (w),L25 (b),D57 (w),L52 (b),L76 (w),W103 (b),3.5
81,Jeffrey L Quirke,12431107,2035,USA,L65 (b),W70 (w),L29 (b),D60 (w),D43 (b),D58 (w),L68 (b),W94 (b),L50 (w),3.5
82,Matthew Tikhomirov,30026331,1960,USA,W59 (b),L31 (w),L74 (b),L25 (w),W44 (b),L60 (w),L69 (b),D95 (w),W105 (b),3.5
83,Rishabh Chinni,16399826,2041,USA,H---,D61 (b),L40 (w),D63 (w),D60 (b),D43 (w),D45 (b),D72 (w),L55 (b),3.5
84,FM Andrew Jiang,16091063,2301,USA,W102 (w),L3 (w),L73 (b),L91 (b),D78 (w),W95 (b),D97 (w),L56 (b),D75 (b),3.5
85,WIM Chloe Gaw,16608942,2172,USA,L12 (b),D42 (b),L2 (w),W108 (w),D59 (b),W74 (w),L65 (b),L77 (w),H---,3.5
86,CM Tariq Yue,30014129,2192,USA,L11 (b),W96 (w),L67 (b),W99 (w),L33 (b),D59 (w),D76 (b),L44 (w),H---,3.5
87,CM Joel Paul Ganta,30020504,2174,IND,L33 (b),D13 (w),D95 (w),D92 (b),L27 (w),L90 (b),L75 (w),W98 (b),W102 (w),3.5
88,FM Pedram Atoufi,12882025,2110,IRI,L38 (w),L40 (b),W109 (w),L45 (b),L95 (w),W98 (b),D94 (w),L73 (b),W101 (w),3.5
89,Sreekar Gangavarapu,16492601,1965,USA,H---,H---,H---,D41 (w),W65 (b),L38 (b),D40 (w),L39 (w),L60 (b),3.5
90,Joshua Xia,30026083,2037,USA,L51 (w),L62 (b),L59 (b),D105 (w),W96 (b),W87 (w),L43 (b),D74 (w),L71 (b),3.0
91,Mr. Vedic Panda,14997432,2124,USA,L31 (b),W59 (w),L32 (b),W84 (w),L36 (b),L63 (w),D77 (b),D96 (w),U---,3.0
92,Rocky Wang,17133074,1951,USA,H---,L68 (w),D25 (b),D87 (w),L97 (b),W79 (w),D58 (b),L45 (w),L74 (b),3.0
93,CM Nguyen Le,16271840,1944,VIE,W110 (w),W53 (b),L11 (b),L32 (w),W74 (b),L36 (w),L29 (b),F58,U---,3.0
94,WGM Claudia Amura,New,2153,ARG,L19 (w),L37 (b),D98 (w),L75 (b),D76 (b),W105 (w),D88 (b),L81 (w),D95 (b),3.0
95,Zhihan Samuel Xu,30744208,1951,CAN,H---,L97 (w),D87 (b),L57 (w),W88 (b),L84 (w),L44 (b),D82 (b),D94 (w),3.0
96,Nehanraj Ramesh,31163791,1914,USA,L48 (w),L86 (b),D75 (w),L101 (b),L90 (w),W108 (b),W103 (w),D91 (b),L66 (w),3.0
97,FM Spencer George Lehmann,13457744,2191,USA,D14 (w),W95 (b),L9 (w),L51 (b),W92 (w),L26 (b),D84 (b),U---,U---,3.0
98,Kevin Rojas,30394255,1936,CRC,L32 (b),L58 (w),D94 (b),L79 (w),D105 (b),L88 (w),W99 (b),L87 (w),B---,3.0
99,Artin Atoufi,30918494,1732,USA,D30 (w),D45 (b),L62 (w),L86 (b),L70 (w),L106 (b),L98 (w),B---,W109 (b),3.0
100,FM Shaashwath Sivakumar,15089302,2234,USA,L6 (b),W78 (w),D15 (b),L13 (w),W55 (b),L41 (w),L57 (b),L79 (w),U---,2.5
101,CM Jashith Karthi,30016333,2151,USA,L36 (b),D28 (w),L13 (b),W96 (w),W72 (b),L65 (w),L50 (b),L75 (w),L88 (b),2.5
102,Edgar Ntende,32462865,1989,UGA,L84 (b),L66 (b),D70 (w),W103 (w),L68 (b),L52 (w),L79 (b),W108 (w),L87 (b),2.5
103,CM Chenxuan Ling,17159983,2131,USA,D61 (w),L14 (b),L54 (w),L102 (b),W108 (b),L76 (w),L96 (b),W109 (w),L80 (w),2.5
104,GM Awonder Liang,13999045,2696,USA,W80 (w),H---,D22 (b),H---,U---,U---,U---,U---,U---,2.5
105,Daniel G Pomerantz,12592338,1968,CAN,L46 (w),L43 (b),L56 (w),D90 (b),D98 (w),L94 (b),W109 (w),L78 (b),L82 (w),2.0
106,Rohit Bhatta,13276665,2024,USA,H---,D30 (b),L39 (w),L58 (w),L69 (b),W99 (w),L55 (b),U---,U---,2.0
107,Guillermo Javier Blanco,15945317,2076,CUB,W34 (w),W26 (b),L4 (w),F46,U---,U---,U---,U---,U---,2.0
108,Harishkumar Karthikeyan,16934805,1963,USA,H---,L64 (w),L41 (b),L85 (b),L103 (w),L96 (w),B---,L102 (b),U---,1.5
109,David Tsay,12600937,1907,TPE,L72 (b),L73 (w),L88 (b),L78 (w),B---,L44 (w),L105 (b),L103 (b),L99 (w),1.0
110,IM Luis Carlos Torres,15268233,2288,MEX,L93 (b),U---,U---,U---,U---,U---,U---,U---,U---,0.0
